"iso3","Year","GPI"
"GUY",2021,2.115
"GUY",2022,2.14
"HTI",2008,2.14
"HTI",2009,2.085
"HTI",2010,2.064
"HTI",2011,2.02999999999999
"HTI",2012,1.976
"HTI",2013,1.923
"HTI",2014,2.081
"HTI",2015,2.04
"HTI",2016,2.007
"HTI",2017,1.95
"HTI",2018,1.97
"HTI",2019,2.044
"HTI",2020,2.128
"HTI",2021,2.073
"HTI",2022,2.254
"HND",2008,2.17799999999999
"HND",2009,2.205
"HND",2010,2.343
"HND",2011,2.29499999999999
"HND",2012,2.269
"HND",2013,2.22
"HND",2014,2.17799999999999
"HND",2015,2.137
"HND",2016,2.2
"HND",2017,2.149
"HND",2018,2.2
"HND",2019,2.26399999999999
"HND",2020,2.22299999999999
"HND",2021,2.33
"HND",2022,2.269
"HUN",2008,1.39799999999999
"HUN",2009,1.50299999999999
"HUN",2010,1.481
"HUN",2011,1.53899999999999
"HUN",2012,1.512
"HUN",2013,1.492
"HUN",2014,1.471
"HUN",2015,1.489
"HUN",2016,1.456
"HUN",2017,1.479
"HUN",2018,1.514
"HUN",2019,1.494
"HUN",2020,1.534
"HUN",2021,1.458
"HUN",2022,1.411
"ISL",2008,1.139
"ISL",2009,1.151
"ISL",2010,1.133
"ISL",2011,1.125
"ISL",2012,1.18199999999999
"ISL",2013,1.181
"ISL",2014,1.175
"ISL",2015,1.153
"ISL",2016,1.15199999999999
"ISL",2017,1.097
"ISL",2018,1.112
"ISL",2019,1.094
"ISL",2020,1.104
"ISL",2021,1.14599999999999
"ISL",2022,1.107
"IND",2008,2.402
"IND",2009,2.44899999999999
"IND",2010,2.579
"IND",2011,2.579
"IND",2012,2.487
"IND",2013,2.50099999999999
"IND",2014,2.49299999999999
"IND",2015,2.48499999999999
"IND",2016,2.52
"IND",2017,2.52599999999999
"IND",2018,2.499
"IND",2019,2.611
"IND",2020,2.616
"IND",2021,2.615
"IND",2022,2.57799999999999
"IDN",2008,1.778
"IDN",2009,1.75
"IDN",2010,1.723
"IDN",2011,1.736
"IDN",2012,1.685
"IDN",2013,1.69
"IDN",2014,1.732
"IDN",2015,1.734
"IDN",2016,1.747
"IDN",2017,1.76499999999999
"IDN",2018,1.746
"IDN",2019,1.737
"IDN",2020,1.814
"IDN",2021,1.78099999999999
"IDN",2022,1.8
"IRN",2008,2.488
"IRN",2009,2.38899999999999
"IRN",2010,2.46499999999999
"IRN",2011,2.544
"IRN",2012,2.564
"IRN",2013,2.512
"IRN",2014,2.452
"IRN",2015,2.511
"IRN",2016,2.359
"IRN",2017,2.371
"IRN",2018,2.486
"IRN",2019,2.512
"IRN",2020,2.705
"IRN",2021,2.67499999999999
"IRN",2022,2.68699999999999
"IRQ",2008,3.51
"IRQ",2009,3.46
"IRQ",2010,3.42099999999999
